instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-1000-1000-10-1",0.000,(1000;47459),0.095,0.526,(1000;47459),0.095,0.185,(1000;47459),0.095,0.173,(1000;47459),0.095
"Frinhani, Carvalho & Soma\Random-1000-1000-10-10",0.000,(1000;47465),0.095,0.508,(1000;47465),0.095,0.174,(1000;47465),0.095,0.176,(1000;47465),0.095
"Frinhani, Carvalho & Soma\Random-1000-1000-10-2",0.000,(1000;48130),0.096,0.501,(1000;48130),0.096,0.179,(1000;48130),0.096,0.191,(1000;48130),0.096
"Frinhani, Carvalho & Soma\Random-1000-1000-10-3",0.000,(1000;45152),0.090,0.493,(1000;45152),0.090,0.185,(1000;45152),0.090,0.175,(1000;45152),0.090
"Frinhani, Carvalho & Soma\Random-1000-1000-10-4",0.000,(1000;46023),0.092,0.521,(998;45981),0.092,0.176,(1000;46023),0.092,0.174,(1000;46023),0.092
"Frinhani, Carvalho & Soma\Random-1000-1000-10-5",0.000,(1000;48531),0.097,0.499,(1000;48531),0.097,0.177,(1000;48531),0.097,0.187,(1000;48531),0.097
"Frinhani, Carvalho & Soma\Random-1000-1000-10-6",0.000,(1000;48546),0.097,0.505,(999;48529),0.097,0.175,(1000;48546),0.097,0.177,(1000;48546),0.097
"Frinhani, Carvalho & Soma\Random-1000-1000-10-7",0.000,(1000;48131),0.096,0.518,(1000;48131),0.096,0.177,(1000;48131),0.096,0.175,(1000;48131),0.096
"Frinhani, Carvalho & Soma\Random-1000-1000-10-8",0.000,(1000;49205),0.099,0.572,(999;49188),0.099,0.207,(1000;49205),0.099,0.183,(1000;49205),0.099
"Frinhani, Carvalho & Soma\Random-1000-1000-10-9",0.000,(1000;46020),0.092,0.506,(1000;46020),0.092,0.187,(1000;46020),0.092,0.173,(1000;46020),0.092
"Frinhani, Carvalho & Soma\Random-1000-1000-14-1",0.000,(1000;87521),0.175,0.629,(1000;87521),0.175,0.186,(1000;87521),0.175,0.179,(1000;87521),0.175
"Frinhani, Carvalho & Soma\Random-1000-1000-14-10",0.000,(1000;90979),0.182,0.643,(1000;90979),0.182,0.189,(1000;90979),0.182,0.188,(1000;90979),0.182
"Frinhani, Carvalho & Soma\Random-1000-1000-14-2",0.000,(1000;88573),0.177,0.637,(1000;88573),0.177,0.242,(1000;88573),0.177,0.184,(1000;88573),0.177
"Frinhani, Carvalho & Soma\Random-1000-1000-14-3",0.000,(1000;90700),0.182,0.631,(1000;90700),0.182,0.194,(1000;90700),0.182,0.178,(1000;90700),0.182
"Frinhani, Carvalho & Soma\Random-1000-1000-14-4",0.000,(1000;89186),0.179,0.809,(1000;89186),0.179,0.204,(1000;89186),0.179,0.185,(1000;89186),0.179
"Frinhani, Carvalho & Soma\Random-1000-1000-14-5",0.000,(1000;89123),0.178,0.634,(1000;89123),0.178,0.189,(1000;89123),0.178,0.189,(1000;89123),0.178
"Frinhani, Carvalho & Soma\Random-1000-1000-14-6",0.000,(1000;88484),0.177,0.623,(1000;88484),0.177,0.185,(1000;88484),0.177,0.188,(1000;88484),0.177
"Frinhani, Carvalho & Soma\Random-1000-1000-14-7",0.000,(1000;90308),0.181,0.811,(1000;90308),0.181,0.243,(1000;90308),0.181,0.247,(1000;90308),0.181
"Frinhani, Carvalho & Soma\Random-1000-1000-14-8",0.000,(1000;88493),0.177,0.721,(1000;88493),0.177,0.231,(1000;88493),0.177,0.198,(1000;88493),0.177
"Frinhani, Carvalho & Soma\Random-1000-1000-14-9",0.000,(1000;91533),0.183,0.698,(1000;91533),0.183,0.204,(1000;91533),0.183,0.228,(1000;91533),0.183
"Frinhani, Carvalho & Soma\Random-1000-1000-18-1",0.000,(1000;137540),0.275,0.906,(1000;137540),0.275,0.223,(1000;137540),0.275,0.199,(1000;137540),0.275
"Frinhani, Carvalho & Soma\Random-1000-1000-18-10",0.000,(1000;135905),0.272,0.909,(1000;135905),0.272,0.247,(1000;135905),0.272,0.205,(1000;135905),0.272
"Frinhani, Carvalho & Soma\Random-1000-1000-18-2",0.000,(1000;135121),0.271,0.900,(1000;135121),0.271,0.211,(1000;135121),0.271,0.203,(1000;135121),0.271
"Frinhani, Carvalho & Soma\Random-1000-1000-18-3",0.000,(1000;137012),0.274,0.953,(1000;137012),0.274,0.217,(1000;137012),0.274,0.219,(1000;137012),0.274
"Frinhani, Carvalho & Soma\Random-1000-1000-18-4",0.000,(1000;135759),0.272,0.875,(1000;135759),0.272,0.211,(1000;135759),0.272,0.201,(1000;135759),0.272
"Frinhani, Carvalho & Soma\Random-1000-1000-18-5",0.000,(1000;139695),0.280,0.916,(1000;139695),0.280,0.225,(1000;139695),0.280,0.201,(1000;139695),0.280
