Dataset,OPT
Shaw1,13.68
Shaw2,13.68
Shaw3,13.68
Shaw4,13.68
Shaw5,13.68
Shaw6,13.68
Shaw7,13.68
Shaw8,13.68
Shaw9,13.68
Shaw10,13.68
Shaw11,13.68
Shaw12,13.68
Shaw13,13.68
Shaw14,13.68
Shaw15,13.68
Shaw16,13.68
Shaw17,13.68
Shaw18,13.68
Shaw19,13.68
Shaw20,13.68
Shaw21,13.68
Shaw22,13.68
Shaw23,13.68
Shaw24,13.68
Shaw25,13.68
p1010n1,5.5
p1010n2,5.5
p1010n3,5.5
p1010n4,5.5
p1010n5,5.5
p1010n6,5.5
p1010n7,5.5
p1010n8,5.5
p1010n9,5.5
p1010n10,5.5
p1020n1,6.2
p1020n2,6.2
p1020n3,6.2
p1020n4,6.2
p1020n5,6.2
p1020n6,6.2
p1020n7,6.2
p1020n8,6.2
p1020n9,6.2
p1020n10,6.2
p1030n1,6.1
p1030n2,6.1
p1030n3,6.1
p1030n4,6.1
p1030n5,6.1
p1030n6,6.1
p1030n7,6.1
p1030n8,6.1
p1030n9,6.1
p1030n10,6.1
p1040n1,7.7
p1040n2,7.7
p1040n3,7.7
p1040n4,7.7
p1040n5,7.7
p1040n6,7.7
p1040n7,7.7
p1040n8,7.7
p1040n9,7.7
p1040n10,7.7
p1050n1,8.2
p1050n2,8.2
p1050n3,8.2
p1050n4,8.2
p1050n5,8.2
p1050n6,8.2
p1050n7,8.2
p1050n8,8.2
p1050n9,8.2
p1050n10,8.2
p1510n1,6.6
p1510n2,6.6
p1510n3,6.6
p1510n4,6.6
p1510n5,6.6
p1510n6,6.6
p1510n7,6.6
p1510n8,6.6
p1510n9,6.6
p1510n10,6.6
p1520n1,7.2
p1520n2,7.2
p1520n3,7.2
p1520n4,7.2
p1520n5,7.2
p1520n6,7.2
p1520n7,7.2
p1520n8,7.2
p1520n9,7.2
p1520n10,7.2
p1530n1,7.3
p1530n2,7.3
p1530n3,7.3
p1530n4,7.3
p1530n5,7.3
p1530n6,7.3
p1530n7,7.3
p1530n8,7.3
p1530n9,7.3
p1530n10,7.3
p1540n1,7.2
p1540n2,7.2
p1540n3,7.2
p1540n4,7.2
p1540n5,7.2
p1540n6,7.2
p1540n7,7.2
p1540n8,7.2
p1540n9,7.2
p1540n10,7.2
p1550n1,7.4
p1550n2,7.4
p1550n3,7.4
p1550n4,7.4
p1550n5,7.4
p1550n6,7.4
p1550n7,7.4
p1550n8,7.4
p1550n9,7.4
p1550n10,7.4
p2010n1,7.5
p2010n2,7.5
p2010n3,7.5
p2010n4,7.5
p2010n5,7.5
p2010n6,7.5
p2010n7,7.5
p2010n8,7.5
p2010n9,7.5
p2010n10,7.5
p2020n1,8.5
p2020n2,8.5
p2020n3,8.5
p2020n4,8.5
p2020n5,8.5
p2020n6,8.5
p2020n7,8.5
p2020n8,8.5
p2020n9,8.5
p2020n10,8.5
p2030n1,8.8
p2030n2,8.8
p2030n3,8.8
p2030n4,8.8
p2030n5,8.8
p2030n6,8.8
p2030n7,8.8
p2030n8,8.8
p2030n9,8.8
p2030n10,8.8
p2040n1,8.5
p2040n2,8.5
p2040n3,8.5
p2040n4,8.5
p2040n5,8.5
p2040n6,8.5
p2040n7,8.5
p2040n8,8.5
p2040n9,8.5
p2040n10,8.5
p2050n1,7.9
p2050n2,7.9
p2050n3,7.9
p2050n4,7.9
p2050n5,7.9
p2050n6,7.9
p2050n7,7.9
p2050n8,7.9
p2050n9,7.9
p2050n10,7.9
p2510n1,8
p2510n2,8
p2510n3,8
p2510n4,8
p2510n5,8
p2510n6,8
p2510n7,8
p2510n8,8
p2510n9,8
p2510n10,8
p2520n1,9.8
p2520n2,9.8
p2520n3,9.8
p2520n4,9.8
p2520n5,9.8
p2520n6,9.8
p2520n7,9.8
p2520n8,9.8
p2520n9,9.8
p2520n10,9.8
p2530n1,10.5
p2530n2,10.5
p2530n3,10.5
p2530n4,10.5
p2530n5,10.5
p2530n6,10.5
p2530n7,10.5
p2530n8,10.5
p2530n9,10.5
p2530n10,10.5
p2540n1,10.3
p2540n2,10.3
p2540n3,10.3
p2540n4,10.3
p2540n5,10.3
p2540n6,10.3
p2540n7,10.3
p2540n8,10.3
p2540n9,10.3
p2540n10,10.3
p2550n1,10
p2550n2,10
p2550n3,10
p2550n4,10
p2550n5,10
p2550n6,10
p2550n7,10
p2550n8,10
p2550n9,10
p2550n10,10
p3010n1,7.8
p3010n2,7.8
p3010n3,7.8
p3010n4,7.8
p3010n5,7.8
p3010n6,7.8
p3010n7,7.8
p3010n8,7.8
p3010n9,7.8
p3010n10,7.8
p3020n1,11.1
p3020n2,11.1
p3020n3,11.1
